POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
ARRONDISSEMENT OGO,72674,77571,150245,75514,80603,156117,78447,83734,162181,81480,86970,168450,84617,90318,174935,87860,93780,181640,91212,97359,188571,94678,101058,195737,98260,104881,203141,101959,108829,210788,105777,112905,218682,109717,117110,226827,113780,121447,235226
CR. BOKIDIAWE,25 255,27 026,52282,26242,28083,54325,27262,29174,56435,28316,30301,58617,29406,31468,60873,30533,32674,63207,31698,33921,65619,32902,35210,68112,34147,36541,70689,35432,37917,73349,36759,39337,76096,38128,40802,78931,39540,42313,81854
CR. NABADJI-CIVOL,25 640,26 732,52372,26642,27776,54419,27677,28855,56533,28747,29971,58718,29854,31124,60978,30998,32317,63316,32181,33551,65732,33404,34826,68229,34667,36143,70810,35972,37503,73476,37320,38908,76227,38710,40357,79067,40143,41852,81995
CR. OGO,21 779,23 813,45592,22630,24744,47374,23509,25705,49214,24418,26699,51116,25358,27726,53084,26330,28789,55119,27334,29888,57222,28373,31023,59396,29446,32197,61643,30555,33409,63964,31699,34660,66359,32880,35951,68831,34097,37282,71380
DEPARTEMENT KANEL,116238,122367,238605,120781,127149,247930,125472,132088,257561,130323,137194,267517,135339,142476,277815,140527,147937,288463,145889,153582,299471,151433,159418,310850,157161,165448,322609,163077,171676,334753,169185,178105,347290,175486,184739,360225,181984,191580,373564
COM. KANEL,6 789,6 186,12975,7055,6427,13482,7329,6677,14006,7612,6935,14547,7905,7202,15107,8208,7478,15686,8521,7763,16285,8845,8059,16904,9179,8363,17543,9525,8678,18203,9882,9003,18885,10250,9339,19589,10629,9684,20314
COM. SEMME,3 408,3 483,6891,3541,3619,7160,3679,3759,7438,3821,3905,7726,3968,4055,8023,4120,4210,8331,4278,4371,8649,4440,4537,8977,4608,4709,9317,4781,4886,9668,4961,5069,10030,5145,5258,10403,5336,5452,10789
COM. WAOUNDE,3 870,3 946,7815,4021,4100,8120,4177,4259,8436,4338,4424,8762,4505,4594,9099,4678,4770,9448,4857,4953,9809,5041,5141,10181,5232,5335,10566,5429,5536,10964,5632,5743,11375,5842,5957,11798,6058,6178,12235
COM. DEMBANCANE,2 590,2 703,5293,2692,2808,5500,2796,2918,5713,2904,3030,5934,3016,3147,6163,3132,3268,6399,3251,3392,6643,3375,3521,6896,3502,3654,7156,3634,3792,7426,3770,3934,7704,3911,4080,7991,4056,4232,8287
COM. HAMADY OUNARE,4 979,5 196,10175,5174,5399,10573,5375,5609,10983,5582,5826,11408,5797,6050,11847,6019,6282,12301,6249,6522,12771,6487,6769,13256,6732,7025,13757,6985,7290,14275,7247,7563,14810,7517,7845,15361,7795,8135,15930
COM. SINTHIOU BAMANBE-BANADJI,6 848,6 975,13822,7115,7247,14362,7392,7529,14920,7678,7820,15497,7973,8121,16093,8279,8432,16710,8595,8754,17348,8921,9086,18007,9259,9430,18688,9607,9785,19392,9967,10151,20118,10338,10530,20867,10721,10920,21640
COM. ODOBERE,2 933,3 096,6028,3047,3217,6264,3166,3342,6507,3288,3471,6758,3415,3604,7019,3545,3743,7288,3681,3885,7566,3821,4033,7853,3965,4186,8150,4114,4343,8457,4268,4506,8774,4427,4674,9101,4591,4847,9438
ARRONDISSEMENT ORKADIERE,50940,55177,106117,52931,57333,110264,54987,59560,114547,57113,61863,118975,59311,64244,123555,61584,66707,128291,63934,69252,133186,66364,71884,138247,68874,74603,143477,71467,77411,148878,74143,80310,154453,76905,83301,160206,79753,86386,166139
CR. BOKILADJI,14 737,15 710,30447,15313,16324,31637,15908,16958,32866,16523,17614,34136,17159,18292,35450,17816,18993,36809,18496,19718,38214,19199,20467,39666,19925,21241,41166,20675,22041,42716,21450,22866,44316,22249,23718,45966,23073,24596,47668
CR. ORKADIERE,20 000,20 533,40533,20782,21335,42117,21589,22164,43753,22424,23021,45444,23287,23907,47194,24180,24823,49003,25102,25771,50873,26056,26750,52806,27042,27762,54803,28060,28807,56866,29110,29886,58996,30195,30999,61193,31313,32147,63459
CR. AOURE,16 203,18 933,35136,16836,19673,36509,17490,20438,37927,18166,21228,39394,18866,22045,40910,19589,22890,42478,20336,23763,44099,21109,24666,45775,21907,25599,47506,22732,26563,49294,23583,27558,51140,24462,28584,53045,25368,29643,55010
ARRONDISSEMENT OURO SIDY,33881,35607,69488,35205,36999,72204,36573,38436,75008,37986,39922,77908,39449,41458,80907,40961,43047,84008,42524,44690,87214,44140,46388,90528,45809,48143,93952,47534,49955,97489,49314,51826,101140,51151,53756,104907,53045,55747,108792
CR. NDENDORY,15 406,16 776,32182,16008,17431,33440,16630,18108,34739,17273,18808,36082,17938,19532,37470,18625,20281,38907,19336,21055,40391,20071,21855,41926,20830,22682,43512,21614,23535,45150,22424,24417,46841,23259,25326,48586,24120,26264,50385
CR. OURO SIDY,18 475,18 832,37307,19197,19568,38765,19943,20328,40271,20714,21114,41828,21511,21926,43438,22336,22767,45103,23188,23636,46824,24069,24534,48603,24980,25462,50441,25920,26420,52340,26891,27410,54300,27893,28431,56323,28925,29483,58408
DEPARTEMENT RANEROU,26102,25211,51313,27122,26196,53318,28176,27214,55389,29265,28266,57531,30391,29354,59745,31556,30479,62035,32760,31642,64402,34005,32844,66850,35292,34087,69378,36620,35370,71990,37991,36695,74686,39407,38061,77468,40866,39471,80337
COM. RANEROU,1 618,1 409,3026,1681,1464,3144,1746,1520,3266,1814,1579,3393,1884,1640,3523,1956,1703,3658,2031,1768,3798,2108,1835,3942,2188,1904,4091,2270,1976,4245,2355,2050,4404,2443,2127,4568,2533,2205,4738
ARRONDISSEMENT VELINGARA,24484,23802,48286,25441,24732,50173,26429,25693,52122,27451,26686,54137,28507,27713,56221,29600,28776,58376,30730,29874,60603,31897,31009,62906,33104,32182,65286,34350,33393,67743,35636,34644,70280,36964,35934,72898,38333,37265,75597
CR. LOUGRE-THIOLY,1 727,1 573,3300,1794,1635,3429,1864,1698,3562,1936,1764,3700,2010,1832,3842,2087,1902,3990,2167,1975,4142,2249,2050,4299,2334,2127,4462,2422,2207,4630,2513,2290,4803,2607,2375,4982,2703,2463,5167
CR. VELINGARA,9 427,8 655,18081,9795,8993,18788,10176,9342,19517,10569,9703,20272,10976,10077,21052,11396,10463,21859,11831,10862,22693,12281,11275,23556,12745,11702,24447,13225,12142,25367,13721,12597,26317,14232,13066,27297,14759,13550,28308
CR. OUDALAYE,13 331,13 574,26905,13852,14105,27956,14390,14653,29042,14946,15219,30165,15521,15805,31326,16116,16411,32527,16731,17037,33768,17367,17684,35051,18024,18353,36377,18702,19044,37747,19403,19757,39160,20126,20493,40619,20871,21252,42123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION SAINT-LOUIS,453315,455627,908942,465399,467477,932876,477880,479722,957602,490713,492319,983032,503900,505270,1009170,517436,518573,1036009,531318,532224,1063542,545522,546218,1091740,560039,560546,1120585,574861,575201,1150062,589978,590168,1180146,605377,605429,1210806,621046,620969,1242015
URBAIN,210033,202005,412037,215480,216442,431922,224126,224990,449116,233089,233852,466941,242376,243035,485411,251991,252545,504536,261940,262387,524327,272216,272563,544779,282820,283076,565896,293754,293928,587682,305018,305117,610135,316612,316639,633251,328533,328492,657025
RURAL,243 282,253 623,496 905,249919,251035,500954,253754,254732,508486,257624,258468,516092,261524,262235,523759,265445,266028,531473,269378,269838,539216,273307,273655,546962,277220,277470,554690,281107,281273,562380,284959,285051,570010,288765,288790,577555,292513,292476,584989
DEPARTEMENT DAGANA,124771,116924,241695,128056,120003,248059,131451,123183,254634,134941,126455,261396,138529,129817,268346,142214,133270,275483,145993,136811,282804,149864,140439,290302,153823,144149,297973,157870,147941,305811,161999,151811,313810,166208,155755,321963,170492,159770,330262
COM. DAGANA,11 133,10 617,21750,11426,10896,22323,11729,11185,22914,12041,11482,23523,12361,11787,24148,12689,12101,24791,13027,12422,25449,13372,12752,26124,13725,13089,26814,14086,13433,27520,14455,13784,28240,14830,14143,28973,15213,14507,29720
COM. RICHARD-TOLL,31 112,26 766,57878,31931,27471,59402,32777,28199,60976,33648,28948,62596,34542,29718,64260,35461,30508,65969,36403,31319,67722,37369,32149,69518,38356,32998,71355,39365,33866,73232,40395,34752,75147,41444,35655,77100,42512,36574,79087
COM. ROSSO-SENEGAL,8 393,7 477,15870,8614,7674,16288,8843,7877,16720,9078,8086,17164,9319,8301,17620,9567,8522,18089,9821,8749,18569,10081,8981,19062,10348,9218,19565,10620,9460,20080,10898,9708,20605,11181,9960,21141,11469,10217,21685
COM. ROSS-BETHIO,6 137,5 451,11588,6299,5594,11893,6465,5743,12208,6637,5895,12533,6814,6052,12866,6995,6213,13208,7181,6378,13559,7371,6547,13918,7566,6720,14286,7765,6897,14662,7968,7077,15046,8175,7261,15436,8386,7448,15834
COM. GAE,3 548,3 600,7148,3641,3695,7336,3738,3793,7531,3837,3894,7731,3939,3997,7936,4044,4103,8147,4151,4212,8364,4261,4324,8586,4374,4438,8812,4489,4555,9044,4607,4674,9281,4726,4796,9522,4848,4919,9767
COM. NDOMBO SANDJIRY,2 358,2 202,4559,2420,2260,4679,2484,2319,4803,2550,2381,4931,2618,2444,5062,2687,2509,5196,2759,2576,5334,2832,2644,5476,2907,2714,5621,2983,2786,5768,3061,2858,5919,3141,2933,6073,3222,3008,6230
ARRONDISSEMENT MBANE,22897,22549,45446,23500,23143,46643,24123,23756,47879,24763,24387,49150,25422,25035,50457,26098,25701,51799,26792,26384,53176,27502,27084,54586,28228,27799,56028,28971,28531,57502,29729,29277,59006,30501,30038,60539,31287,30812,62099
CR. MBANE,14 464,14 176,28640,14845,14550,29394,15238,14935,30173,15643,15332,30975,16059,15740,31798,16486,16158,32644,16924,16588,33511,17373,17027,34400,17832,17477,35309,18301,17937,36237,18779,18406,37185,19267,18885,38151,19764,19371,39135
CR. BOKHOL,8 433,8 372,16806,8655,8593,17249,8885,8821,17706,9121,9055,18176,9363,9296,18659,9612,9543,19155,9868,9796,19664,10129,10056,20186,10397,10322,20719,10670,10593,21264,10950,10870,21820,11234,11153,22387,11524,11440,22964
ARRONDISSEMENT NDIAYE,39193,38263,77456,40225,39271,79496,41291,40311,81603,42388,41382,83770,43515,42482,85997,44672,43612,88284,45859,44771,90630,47075,45958,93033,48319,47172,95491,49590,48413,98003,50887,49680,100567,52209,50970,103180,53555,52284,105839
CR. DIAMA,17 459,17 370,34828,17918,17827,35745,18393,18300,36693,18882,18786,37667,19384,19285,38668,19899,19798,39697,20428,20324,40752,20970,20863,41832,21524,21414,42938,22090,21978,44067,22668,22552,45220,23257,23138,46395,23856,23735,47590
CR. NGNITH,10 659,10 376,21035,10939,10649,21589,11229,10932,22161,11527,11222,22750,11834,11520,23355,12149,11827,23976,12471,12141,24613,12802,12463,25265,13140,12792,25933,13486,13129,26615,13839,13472,27311,14198,13822,28021,14564,14178,28743
CR. RONKH,11 076,10 517,21593,11368,10794,22162,11669,11080,22749,11979,11374,23353,12298,11677,23974,12625,11987,24612,12960,12306,25266,13304,12632,25936,13655,12966,26621,14015,13307,27321,14381,13655,28036,14755,14010,28764,15135,14371,29506
DEPARTEMENT PODOR,180976,189775,370751,185741,194772,380514,190665,199935,390599,195728,205244,400972,200932,210701,411633,206276,216305,422581,211758,222053,433811,217372,227941,445313,223115,233963,457079,228984,240118,469102,234974,246399,481373,241079,252800,493879,247293,259316,506609
COM. PODOR,5 906,5 702,11608,6061,5853,11914,6222,6008,12229,6387,6167,12554,6557,6331,12888,6732,6500,13231,6910,6672,13582,7094,6849,13942,7281,7030,14311,7473,7215,14687,7668,7404,15072,7867,7596,15463,8070,7792,15862
COM. NDIOUM,7 368,6 973,14341,7562,7156,14719,7763,7346,15109,7969,7541,15510,8181,7741,15922,8398,7947,16346,8621,8159,16780,8850,8375,17225,9084,8596,17680,9323,8822,18145,9567,9053,18620,9815,9288,19104,10068,9528,19596
COM. GOLLERE,3 276,3 097,6373,3362,3178,6541,3451,3263,6714,3543,3349,6892,3637,3438,7076,3734,3530,7264,3833,3624,7457,3935,3720,7655,4039,3818,7857,4145,3918,8064,4253,4021,8275,4364,4125,8490,4476,4232,8708
COM. NDIANDANE,2 562,2 277,4839,2630,2337,4966,2699,2399,5098,2771,2462,5233,2845,2528,5373,2920,2595,5515,2998,2664,5662,3077,2735,5812,3159,2807,5966,3242,2881,6123,3327,2956,6283,3413,3033,6446,3501,3111,6612
COM. BODE LAO,1 159,1 307,2466,1189,1342,2531,1221,1377,2598,1253,1414,2667,1287,1451,2738,1321,1490,2811,1356,1530,2885,1392,1570,2962,1429,1612,3040,1466,1654,3120,1505,1697,3202,1544,1741,3285,1584,1786,3370
COM. DEMETTE,1 517,1 525,3042,1557,1565,3122,1598,1606,3205,1640,1649,3290,1684,1693,3377,1729,1738,3467,1775,1784,3559,1822,1832,3654,1870,1880,3750,1919,1929,3849,1969,1980,3950,2021,2031,4052,2073,2084,4157
COM. GALOYA TOUCOULEUR,2 764,2 524,5289,2837,2591,5428,2912,2660,5572,2990,2730,5720,3069,2803,5872,3151,2877,6028,3234,2954,6189,3320,3032,6353,3408,3112,6521,3498,3194,6692,3589,3278,6867,3682,3363,7046,3777,3449,7227
COM. GUEDE CHANTIER,2 772,2 828,5600,2845,2903,5747,2920,2980,5900,2998,3059,6056,3077,3140,6218,3159,3223,6383,3243,3309,6552,3329,3397,6726,3417,3487,6904,3507,3578,7086,3599,3672,7271,3692,3767,7460,3787,3864,7652
COM. MBOUMBA,2 519,2 377,4896,2585,2440,5025,2654,2504,5158,2724,2571,5295,2797,2639,5436,2871,2709,5580,2947,2781,5729,3026,2855,5881,3106,2930,6036,3187,3008,6195,3271,3086,6357,3356,3166,6522,3442,3248,6690
COM. AERE LAO,4 680,4 792,9472,4803,4918,9721,4930,5049,9979,5061,5183,10244,5196,5320,10516,5334,5462,10796,5476,5607,11083,5621,5756,11377,5769,5908,11678,5921,6063,11985,6076,6222,12298,6234,6384,12618,6394,6548,12943
COM. PETE,2 037,2 174,4211,2090,2232,4322,2146,2291,4436,2203,2352,4554,2261,2414,4675,2322,2478,4800,2383,2544,4927,2446,2612,5058,2511,2681,5192,2577,2751,5328,2645,2823,5467,2713,2897,5609,2783,2971,5754
COM. WALALDE,1 560,1 664,3224,1601,1708,3309,1643,1753,3397,1687,1800,3487,1732,1848,3580,1778,1897,3675,1825,1947,3772,1874,1999,3872,1923,2052,3975,1974,2106,4079,2025,2161,4186,2078,2217,4295,2132,2274,4405
ARRONDISSEMNT CAS-CAS,38673,40884,79557,39691,41961,81652,40743,43073,83816,41825,44217,86042,42937,45392,88330,44079,46599,90679,45251,47838,93089,46451,49106,95557,47678,50404,98081,48932,51730,100662,50212,53083,103295,51516,54462,105978,52844,55866,108710
CR. MEDINA NDIATHBE,16 401,16 842,33243,16833,17285,34118,17279,17743,35023,17738,18214,35953,18210,18699,36909,18694,19196,37890,19191,19706,38897,19699,20229,39929,20220,20763,40983,20752,21309,42062,21295,21867,43162,21848,22435,44283,22411,23013,45425
CR. DOUNGA-LAO,13 863,15 132,28995,14228,15531,29758,14605,15942,30547,14993,16366,31358,15391,16801,32192,15800,17248,33048,16220,17706,33927,16650,18176,34826,17090,18656,35746,17540,19147,36687,17999,19647,37646,18466,20158,38624,18942,20677,39620
CR. MERY,8 410,8 910,17319,8631,9144,17775,8860,9387,18246,9095,9636,18731,9337,9892,19229,9585,10155,19740,9840,10425,20265,10101,10702,20802,10368,10984,21352,10640,11273,21913,10919,11568,22487,11202,11869,23071,11491,12175,23665
ARRONDISSEMENT SALDE,23607,25271,48878,24229,25936,50165,24871,26624,51495,25531,27331,52862,26210,28058,54268,26907,28804,55711,27622,29569,57192,28355,30353,58708,29104,31155,60259,29869,31975,61844,30651,32811,63462,31447,33664,65111,32258,34531,66789
CR. BOKE DIALLOUBE,11 749,12 413,24161,12058,12740,24797,12377,13077,25454,12706,13425,26130,13044,13781,26825,13391,14148,27539,13747,14524,28270,14111,14909,29020,14484,15303,29787,14865,15706,30570,15254,16116,31370,15650,16535,32185,16054,16961,33015
CR. MBOLO BIRANE,11 859,12 858,24717,12171,13197,25368,12493,13546,26040,12825,13906,26732,13166,14276,27443,13516,14655,28172,13876,15045,28921,14243,15444,29688,14620,15852,30472,15004,16269,31274,15397,16694,32092,15797,17128,32926,16204,17570,33774
ARRONDISSEMENT THILLE BOUBAC,31338,32612,63950,32163,33471,65634,33016,34358,67374,33892,35270,69163,34794,36208,71002,35719,37171,72890,36668,38159,74827,37640,39171,76811,38635,40206,78840,39651,41263,80914,40688,42343,83031,41746,43443,85188,42822,44562,87384
CR. FANAYE,16 331,16 927,33258,16761,17373,34134,17205,17834,35038,17662,18307,35969,18132,18794,36925,18614,19294,37907,19108,19807,38915,19615,20332,39947,20133,20869,41002,20663,21418,42081,21203,21978,43181,21754,22549,44303,22315,23130,45445
CR. NDIAYENE PENDAO,15 007,15 685,30692,15402,16098,31500,15811,16525,32335,16230,16964,33194,16662,17415,34076,17105,17878,34983,17560,18353,35912,18025,18839,36864,18502,19337,37838,18988,19846,38834,19485,20365,39850,19991,20894,40885,20506,21433,41939
ARRONDISSEMENT GAMADJI SARE,49239,53767,103006,50536,55183,105718,51875,56645,108520,53253,58150,111402,54669,59696,114364,56122,61283,117406,57614,62912,120526,59141,64580,123722,60704,66286,126990,62301,68030,130331,63931,69810,133740,65592,71623,137215,67282,73469,140752
CR. DODEL,18 434,20 093,38528,18920,20622,39543,19421,21169,40591,19937,21731,41669,20467,22309,42776,21011,22902,43914,21570,23511,45081,22142,24134,46276,22727,24772,47499,23325,25424,48749,23935,26089,50024,24557,26766,51323,25190,27456,52646
CR. GAMADJI SARE,9 523,10 864,20387,9774,11150,20924,10033,11446,21478,10299,11750,22049,10573,12062,22635,10854,12383,23237,11143,12712,23855,11438,13049,24487,11740,13394,25134,12049,13746,25795,12364,14106,26470,12686,14472,27158,13013,14845,27858
CR. GUEDE VILLAGE,21 282,22 809,44091,21842,23410,45252,22421,24030,46451,23017,24668,47685,23629,25324,48953,24257,25998,50255,24902,26689,51590,25562,27396,52958,26237,28120,54357,26927,28860,55787,27632,29615,57247,28350,30384,58734,29080,31167,60248
DEPARTEMENT SAINT-LOUIS,147568,148928,296496,151454,152850,304303,155468,156901,312369,159597,161067,320664,163840,165350,329190,168198,169748,337945,172668,174259,346926,177246,178879,356125,181929,183605,365534,186714,188435,375149,191598,193364,384962,196576,198388,394964,201643,203501,405144
COM. SAINT LOUIS,105 371,104 380,209752,108146,107129,215275,111012,109968,220981,113960,112888,226849,116990,115890,232881,120102,118972,239075,123294,122134,245428,126562,125372,251935,129906,128685,258592,133324,132070,265394,136811,135524,272336,140365,139045,279412,143983,142629,286614
COM. M’PAL,3 861,4 272,8132,3962,4384,8346,4067,4500,8567,4175,4620,8795,4286,4743,9029,4400,4869,9269,4517,4998,9515,4637,5131,9767,4760,5266,10025,4885,5405,10289,5013,5546,10558,5143,5690,10833,5275,5837,11112
ARRONDISSEMENT RAO,38336,40276,78612,39345,41337,80682,40388,42432,82820,41461,43559,85020,42563,44717,87280,43695,45906,89602,44856,47126,91983,46046,48376,94422,47262,49654,96916,48506,50960,99466,49774,52293,102068,51068,53652,104719,52384,55035,107419
CR. GANDON,20 892,19 871,40763,21442,20395,41836,22011,20935,42945,22595,21491,44086,23196,22062,45258,23813,22649,46462,24446,23251,47696,25094,23868,48961,25757,24498,50254,26434,25143,51576,27126,25800,52926,27830,26471,54301,28548,27153,55700
CR. FASS NGOM,8 017,8 650,16667,8228,8878,17106,8446,9113,17559,8671,9355,18026,8901,9604,18505,9138,9859,18997,9381,10121,19502,9629,10389,20019,9884,10664,20548,10144,10944,21088,10409,11231,21640,10680,11523,22202,10955,11820,22774
CR. N’DIEBENE GANDIOLE,9 427,11 755,21182,9675,12064,21740,9931,12384,22316,10195,12713,22909,10466,13051,23518,10744,13398,24143,11030,13754,24785,11322,14119,25442,11622,14492,26114,11927,14873,26801,12239,15262,27502,12557,15659,28217,12881,16062,28944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION SEDHIOU,229467,223527,452994,237078,231020,468098,244972,238796,483768,253179,246885,500064,261713,255303,517016,270591,264064,534655,279827,273178,553005,289437,282662,572099,299438,292532,591970,309845,302804,612649,320676,313495,634171,331945,324617,656562,343656,336186,679842
ZONE URBAINE,45136,41877,87014,48601,47359,95960,51444,50147,101591,54180,52833,107013,57315,55911,113226,60612,59150,119762,64080,62558,126638,67439,65860,133299,71266,69623,140889,75292,73581,148873,79528,77747,157275,83650,81804,165454,88320,86400,174720
ZONE RURALE,184 331,181 649,365 980,188477,183661,372138,193528,188649,382177,198999,194052,393051,204398,199392,403790,209979,204913,414892,215746,210620,426366,221998,216802,438800,228172,222910,451082,234553,229223,463776,241149,235748,476897,248295,242814,491109,255336,249786,505122
DEPARTEMENT SEDHIOU,76977,74354,151331,79544,76833,156377,82206,79405,161612,84976,82080,167056,87856,84863,172719,90854,87758,178611,93972,90770,184742,97216,93904,191120,100593,97165,197758,104107,100560,204667,107764,104092,211857,111569,107767,219337,115525,111589,227114
COM. SEDHIOU,12 466,11 747,24214,12882,12139,25021,13313,12546,25859,13762,12968,26730,14228,13408,27636,14714,13865,28579,15219,14341,29560,15744,14836,30581,16291,15352,31643,16860,15888,32748,17452,16446,33898,18068,17027,35095,18709,17630,36340
