POPTOT-SN-RGPHAE-2013,,13 508 715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION DE LA REGION DE DAKAR - 2013-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
DEPARTEMENT DE RUFISQUE,245796,244899,490695,253338,252414,505752,260956,260004,520960,268688,267707,536395,276517,275508,552025,284432,283394,567826,292421,291353,583774,300470,299373,599843,308566,307440,616006,316704,315548,632252,324881,323696,648577,333095,331879,664975,341343,340097,681440
ARRONDISSEMENT BAMBYLOR,55860,55021,110881,57574,56709,114283,59305,58414,117719,61062,60145,121207,62842,61897,124739,64640,63669,128310,66456,65457,131913,68285,67259,135544,70125,69071,139197,71975,70893,142868,73833,72724,146557,75700,74562,150262,77574,76408,153982
CR. YENE,12 304,12 490,24795,12682,12874,25556,13063,13261,26324,13450,13654,27104,13842,14052,27894,14239,14454,28692,14638,14860,29498,15041,15269,30310,15447,15680,31127,15854,16094,31948,16263,16509,32773,16675,16927,33601,17088,17346,34433
CR. BAMBYLOR,22 732,22 231,44962,23429,22913,46342,24134,23602,47735,24849,24301,49149,25573,25009,50582,26305,25725,52029,27044,26447,53491,27788,27175,54963,28537,27908,56444,29289,28644,57933,30046,29383,59429,30805,30126,60931,31568,30872,62440
CR. TIVAOUANE PEULH-NIAGHA,20 823,20 300,41123,21462,20922,42385,22108,21552,43659,22763,22190,44953,23426,22837,46263,24096,23490,47587,24773,24150,48924,25455,24815,50270,26141,25483,51625,26830,26156,52986,27523,26831,54354,28219,27509,55729,28918,28190,57108
ARRONDISSEMENT RUFISQUE,189936,189878,379814,195764,195705,391468,201651,201589,403240,207625,207562,415187,213675,213610,427285,219792,219725,439516,225965,225896,451860,232184,232114,464298,238441,238368,476809,244729,244655,489384,251048,250972,502020,257395,257317,514712,263769,263688,527457
CA. RUFISQUE CENTRE (NORD),46 303,45 747,92051,47724,47151,94876,49159,48569,97729,50616,50008,100624,52091,51465,103556,53582,52938,106520,55086,54425,109512,56603,55923,112526,58128,57430,115559,59661,58945,118606,61201,60467,121669,62749,61996,124745,64302,63531,127833
CA. RUFISQUE EST,35 106,35 020,70125,36183,36094,72277,37271,37180,74450,38375,38281,76656,39494,39397,78890,40624,40524,81148,41765,41662,83427,42915,42809,85723,44071,43963,88033,45233,45122,90355,46401,46287,92688,47574,47457,95031,48752,48632,97384
CA. RUFISQUE OUEST,28 803,30 087,58890,29687,31010,60697,30580,31942,62522,31486,32889,64375,32403,33847,66250,33331,34816,68147,34267,35794,70061,35210,36779,71989,36159,37770,73929,37113,38766,75879,38071,39767,77838,39033,40772,79806,40000,41782,81782
COM. BARGNY,25 655,25 533,51188,26442,26316,52759,27238,27108,54345,28045,27911,55955,28862,28724,57586,29688,29546,59234,30522,30376,60898,31362,31212,62574,32207,32053,64260,33056,32899,65955,33910,33748,67658,34767,34601,69368,35628,35458,71086
COM. SEBIKOTANE,13 674,13 728,27402,14093,14150,28243,14517,14575,29092,14947,15007,29954,15383,15444,30827,15823,15886,31709,16267,16332,32600,16715,16782,33497,17166,17234,34400,17618,17689,35307,18073,18145,36219,18530,18604,37134,18989,19065,38054
COM. DIAMNIADIO,11 991,11 556,23547,12359,11910,24270,12731,12269,24999,13108,12632,25740,13490,13000,26490,13876,13372,27248,14266,13748,28014,14659,14126,28785,15054,14507,29560,15451,14889,30340,15850,15274,31123,16250,15660,31910,16653,16048,32700
COM. JAXAAY PARCELLE NIAKOUL RAP,20 688,20 882,41570,21323,21523,42846,21964,22170,44134,22615,22827,45442,23274,23492,46766,23940,24164,48104,24613,24843,49455,25290,25527,50817,25972,26215,52186,26657,26906,53562,27345,27601,54945,28036,28298,56334,28731,28999,57729
COM. SANGALKAM,6 093,5 822,11916,6280,6001,12282,6469,6182,12651,6661,6365,13026,6855,6550,13405,7051,6738,13789,7249,6927,14176,7449,7117,14567,7649,7309,14959,7851,7502,15354,8054,7696,15750,8257,7890,16148,8462,8086,16548
COM. SENDOU,1 622,1 503,3125,1671,1550,3221,1722,1596,3318,1773,1643,3416,1824,1691,3516,1877,1740,3616,1929,1789,3718,1982,1838,3820,2036,1887,3923,2089,1937,4027,2143,1987,4130,2198,2037,4235,2252,2088,4340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROJECTION DE LA POPULATION D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOM LOCALITE,RGPHAE 2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
,Homme,Femme,Totale,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble,Homme,Femme,Ensemble
REGION DIOURBEL,716 461,780 994,1 497 455,739599,804048,1543647,763624,827969,1591593,788560,852790,1641350,814429,878538,1692967,841256,905240,1746496,869067,932924,1801991,897885,961618,1859503,927740,991350,1919090,958665,1022156,1980821,990698,1054073,2044771,1023876,1087137,2111013,1058219,1121375,2179594
ZONE URBAINE,114166,125704,239870,119075,129452,248527,122943,133303,256246,127747,138152,265899,131937,142323,274260,136283,146649,282932,140789,151134,291923,145457,155782,301239,151222,161590,312812,156262,166611,322873,161484,171814,333298,166892,177203,344095,172490,182784,355274
ZONE RURALE,602 295,655 290,1 257 585,620524,674596,1295120,640680,694666,1335346,660813,714638,1375451,682491,736215,1418706,704972,758591,1463563,728278,781790,1510068,752428,805835,1558263,776519,829760,1606279,802403,855545,1657948,829215,882259,1711474,856984,909934,1766918,885729,938591,1824320
DEPARTEMENT BAMBEY,145 551,153 925,299 476,150041,158674,308714,154701,163602,318303,159537,168717,328254,164554,174022,338576,169757,179525,349282,175151,185229,360380,180741,191141,371882,186533,197266,383799,192533,203611,396144,198749,210185,408934,205188,216994,422181,211854,224043,435897
Commune de BAMBEY,13 578,15 330,28908,13997,15803,29800,14431,16294,30725,14883,16804,31686,15351,17332,32682,15836,17880,33716,16339,18448,34787,16861,19037,35897,17401,19647,37048,17961,20279,38239,18540,20934,39474,19141,21612,40753,19763,22314,42077
